#,Naam,Material cost,AH prijs,Profit,Margin,AH sales,Score,Ingredients
21,Juju Shortbow,292.8K,11.33M,10.81M,3692.7%,0,0.325,1x Enchanted Eye Of Ender | 3x Enchanted String | 1x Null Ovoid | 1x Enchanted Quartz Block
22,Magma Lord Leggings,32.82M,60.00M,25.98M,79.2%,0,0.323,7x Magma Lord Fragment
23,Shimmering Light Slippers,346.6K,10.50M,9.94M,2869.3%,0,0.317,2x Enchanted Mycelium Cube | 2x X
24,Launch Pad,9.3K,5.00M,4.89M,52371.8%,0,0.316,8x Enchanted Slime Ball | 1x Enchanted Redstone
25,Shimmering Light Tunic,1.12M,13.40M,12.01M,1074.7%,0,0.315,5x Enchanted Mycelium Cube | 2x Y | 1x Z
26,Ghoul Buster,446.7K,10.50M,9.84M,2203.5%,0,0.313,2x Ectoplasm | 2x Spooky Shard | 1x Purple Candy
27,Etherwarp Conduit,1.73M,14.43M,12.41M,715.7%,0,0.312,8x Null Ovoid | 1x Refined Titanium
28,Superior Dragon Leggings,1.72M,14.00M,12.00M,697.0%,0,0.309,7x Superior Fragment
29,Superior Dragon Chestplate,1.97M,13.30M,11.07M,562.5%,0,0.303,8x Superior Fragment
30,Hotspot Hook,927.8K,10.69M,9.55M,1029.2%,0,0.302,1x Enchanted Water Lily | 1x Singed Powder | 1x Broken Radar
31,Dragonfuse Glove,4.65M,17.99M,12.98M,279.2%,0,0.302,2x Ritual Residue | 3x Mite Gel | 3x Absolute Ender Pearl
32,Night Crystal,134.4K,6.71M,6.44M,4792.7%,0,0.301,4x Enchanted Quartz | 1x Enchanted Quartz Block
33,Hunter Talisman,1.38M,11.00M,9.40M,678.5%,0,0.296,8x Golden Tooth | 1x Enchanted Rotten Flesh
34,Cropie Talisman,201.8K,6.80M,6.46M,3201.2%,0,0.296,8x Cropie
35,Runaan's Bow,4.5K,3.00M,2.94M,64663.0%,0,0.292,3x Enchanted Bone | 3x Enchanted String
36,Tarantula Helmet,837.8K,9.00M,7.98M,952.7%,0,0.292,3x Tarantula Silk | 2x Enchanted Iron
37,Devour Ring,74.1K,4.88M,4.70M,6350.9%,0,0.288,1x Enchanted Raw Chicken | 2x Enchanted Raw Salmon | 1x Revenant Viscera
38,Farm Armor Leggings,7.0K,3.00M,2.93M,42151.9%,0,0.287,7x Enchanted Wheat
39,Weird Tuba,177.5K,5.60M,5.31M,2991.2%,0,0.285,5x Enchanted Iron | 1x Golden Tooth
40,Superior Dragon Boots,983.7K,8.50M,7.35M,746.8%,0,0.285,4x Superior Fragment
41,Warning Flare,632.4K,7.50M,6.72M,1062.3%,0,0.284,1x Enchanted Sulphur | 2x Molten Powder
42,Spirit Sceptre,3.11M,12.27M,8.91M,286.2%,0,0.283,1x Spirit Wing | 2x Enchanted Lapis Lazuli Block
43,Web,41,1.00M,980.0K,2371148.0%,0,0.280,9x String
44,Inferno Minion Fuel,181.6K,5.20M,4.91M,2705.7%,0,0.280,6x Nether Stalk Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
45,Inferno Minion Fuel,199.8K,5.20M,4.90M,2450.6%,0,0.278,6x Blaze Rod Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
46,Inferno Minion Fuel,200.2K,5.20M,4.90M,2445.4%,0,0.278,6x Glowstone Dust Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
47,Inferno Minion Fuel,207.8K,5.20M,4.89M,2352.0%,0,0.278,6x Crude Gabagool Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
48,Leggings of Growth,15.9K,3.00M,2.92M,18404.6%,0,0.277,7x Enchanted Dark Oak Log
49,Sorrow Chestplate,1.71M,9.00M,7.11M,417.1%,0,0.276,8x Sorrow
50,Strong Dragon Boots,248.8K,5.00M,4.65M,1868.8%,0,0.272,4x Strong Fragment
51,Soul Whip,1.36M,7.85M,6.34M,467.7%,0,0.271,3x Ectoplasm | 2x Soul Fragment
52,Hay Bale,57,900.0K,881.9K,1522839.8%,0,0.269,9x Wheat
53,Helmet of Growth,11.3K,2.50M,2.44M,21488.8%,0,0.269,5x Enchanted Dark Oak Log
54,Wisp Upgrade Stone,2.10M,8.85M,6.57M,312.9%,0,0.268,4x Molten Powder | 3x Enchanted Packed Ice | 1x Inferno Vertex | 1x Kelvin Inverter
55,Skeleton's Helmet,4.2K,1.98M,1.94M,45906.2%,0,0.266,5x Enchanted Bone
56,Farm Armor Helmet,5.0K,2.00M,1.96M,39335.1%,0,0.265,5x Enchanted Wheat
57,Titan Line,149.50M,167.00M,14.16M,9.5%,0,0.264,1x Enchanted Water Lily | 1x Bayou Water Orb | 1x Titanoboa Shed
58,Superior Dragon Helmet,1.23M,6.90M,5.53M,449.8%,0,0.264,5x Superior Fragment
59,Inferno Minion Fuel,516.7K,5.20M,4.58M,886.2%,0,0.262,6x Nether Stalk Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
60,Strong Dragon Leggings,435.5K,4.94M,4.41M,1011.7%,0,0.262,7x Strong Fragment
61,Souls Rebound,23.3K,2.58M,2.51M,10731.9%,0,0.262,3x Enchanted Ghast Tear | 3x Soul String | 1x Dark Queens Soul Drop
62,Inferno Minion Fuel,534.9K,5.20M,4.56M,852.7%,0,0.261,6x Blaze Rod Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
63,Inferno Minion Fuel,535.3K,5.20M,4.56M,852.0%,0,0.261,6x Glowstone Dust Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
64,Inferno Minion Fuel,542.9K,5.20M,4.55M,838.6%,0,0.261,6x Crude Gabagool Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
65,Inferno Minion Fuel,581.1K,5.20M,4.51M,777.0%,0,0.260,6x Magma Cream Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
66,Blaze Talisman,284.1K,4.20M,3.83M,1348.6%,0,0.258,8x Millenia Old Blaze Ashes | 1x Enchanted Blaze Rod
67,Edible Mace,175.4K,3.67M,3.42M,1948.6%,0,0.257,2x Enchanted Mutton | 1x Golden Tooth
68,Ichthyic Gloves,273.9K,4.00M,3.65M,1331.0%,0,0.255,3x Blue Shark Tooth | 2x Nurse Shark Tooth | 1x Enchanted Shark Fin
69,Scourge Cloak,386.2K,4.35M,3.88M,1004.0%,0,0.255,4x Mutated Blaze Ashes | 4x Compact Ooze | 1x Rekindled Ember Fragment
70,Everburning Flame,10.48M,17.89M,7.05M,67.3%,0,0.253,4x Flames | 2x Enchanted Red Sand Cube | 2x Enchanted Sulphur Cube | 1x Plasma Bucket
71,Wisp Upgrade Stone,3.10M,8.85M,5.57M,179.6%,0,0.252,4x Inferno Vertex | 2x Enchanted Packed Ice | 2x Molten Powder | 1x Kelvin Inverter
72,Guardian Chestplate,3.3K,1.50M,1.47M,43956.5%,0,0.251,4x Prismarine Shard | 4x Prismarine Crystals
73,Dragonfade Cloak,6.94M,13.40M,6.19M,89.3%,0,0.249,3x Ritual Residue | 4x Mite Gel | 2x Absolute Ender Pearl
74,Inferno Minion Fuel,916.2K,5.20M,4.18M,456.2%,0,0.249,6x Magma Cream Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
75,Scoville Belt,383.2K,3.88M,3.42M,892.3%,0,0.247,4x Compact Ooze | 1x Rekindled Ember Fragment
76,Werewolf Helmet,16.2K,1.90M,1.85M,11402.1%,0,0.247,5x Werewolf Skin
77,Sorrow Leggings,1.49M,6.00M,4.39M,293.9%,0,0.246,7x Sorrow
78,Silent Pearl,18,500.0K,490.0K,2688056.4%,0,0.245,8x Ender Stone | 1x Ender Pearl
79,Ichthyic Belt,226.0K,3.10M,2.81M,1244.1%,0,0.241,2x Blue Shark Tooth | 2x Nurse Shark Tooth | 1x Enchanted Shark Fin
80,Ruby Power Scroll,33.5K,2.00M,1.93M,5752.9%,0,0.240,3x Enchanted Paper | 1x Fine Ruby Gem
81,Tarantula Chestplate,1.12M,5.00M,3.78M,338.1%,0,0.240,4x Enchanted Iron | 4x Tarantula Silk
82,Wise Dragon Leggings,322.6K,3.35M,2.96M,917.8%,0,0.240,7x Wise Fragment
83,Werewolf Leggings,22.7K,1.80M,1.74M,7683.4%,0,0.239,7x Werewolf Skin
84,Tier Boost,159.27M,172.00M,9.29M,5.8%,0,0.236,5x Enchanted Iron Block | 1x Pet Item Tier Boost Drop
85,Amber Power Scroll,36.5K,1.90M,1.83M,4997.3%,0,0.236,3x Enchanted Paper | 1x Fine Amber Gem
86,Magical Lava Bucket,348,750.0K,734.7K,210738.5%,0,0.235,3x Iron Ingot | 1x Enchanted Netherrack
87,Sulphur Bow,10.4K,1.44M,1.40M,13518.4%,0,0.234,3x Enchanted String | 2x Enchanted Sulphur | 1x Bezos
88,Melon Chestplate,408.3K,3.30M,2.83M,692.0%,0,0.234,8x Enchanted Melon Block
89,Unstable Dragon Leggings,59.5K,2.00M,1.90M,3193.5%,0,0.232,7x Unstable Fragment
90,Thunder Helmet,321.0K,3.00M,2.62M,816.0%,0,0.232,5x Thunder Shards
91,Opal Power Scroll,35.0K,1.70M,1.63M,4659.4%,0,0.229,3x Enchanted Paper | 1x Fine Opal Gem
92,Flower of Truth,889.9K,4.00M,3.03M,340.5%,0,0.229,3x Golem Poppy
93,Jasper Power Scroll,72.7K,1.98M,1.87M,2568.1%,0,0.229,3x Enchanted Paper | 1x Fine Jasper Gem
94,Thunder Chestplate,513.6K,3.28M,2.70M,525.9%,0,0.228,8x Thunder Shards
95,Boots of the Pack,348.4K,2.80M,2.40M,687.5%,0,0.225,2x Golden Tooth | 2x Enchanted Mutton
96,Chestplate of Growth,18.2K,1.40M,1.35M,7456.1%,0,0.225,8x Enchanted Dark Oak Log
97,Prismarine Bricks,29,399.0K,391.0K,1322586.0%,0,0.225,9x Prismarine Shard
98,Sorrow Helmet,1.07M,4.10M,2.95M,276.9%,0,0.225,5x Sorrow
99,Boots of Growth,9.1K,1.19M,1.16M,12745.3%,0,0.224,4x Enchanted Dark Oak Log
100,Sorrow Boots,852.9K,3.60M,2.68M,313.6%,0,0.221,4x Sorrow
101,Protector Dragon Boots,39.2K,1.50M,1.43M,3650.6%,0,0.219,4x Protector Fragment
102,Amethyst Power Scroll,34.0K,1.44M,1.38M,4044.9%,0,0.218,3x Enchanted Paper | 1x Fine Amethyst Gem
103,Emerald Armor Leggings,742.0K,3.30M,2.49M,335.8%,0,0.218,7x Enchanted Emerald Block
104,Chestplate of the Pack,696.9K,3.20M,2.44M,350.0%,0,0.218,4x Enchanted Mutton | 4x Golden Tooth
105,Gauntlet of Contagion,702.9K,3.10M,2.34M,332.2%,0,0.215,3x Enchanted Mycelium Cube | 6x Leather Cloth
106,Ichthyic Cloak,336.7K,2.40M,2.02M,598.5%,0,0.214,2x Blue Shark Tooth | 1x Nurse Shark Tooth | 4x Enchanted Shark Fin
107,Slime Bow,384.4K,2.50M,2.07M,537.4%,0,0.214,3x Enchanted Slime Block | 3x Enchanted String
108,Portal to The Barn,83,399.0K,390.9K,470548.0%,0,0.212,3x Carrot Item | 5x Potato Item | 1x Ender Pearl
109,Gemstone Gauntlet,15.35M,19.75M,4.00M,26.1%,0,0.211,8x Flawless Ruby Gem | 1x Enchanted Gold Block
110,Spider's Boots,2.7K,770.0K,751.9K,28070.6%,0,0.211,4x Enchanted String
111,Melon Leggings,357.3K,2.30M,1.90M,530.9%,0,0.210,7x Enchanted Melon Block
112,Farmer Boots,6.5K,900.0K,875.5K,13507.4%,0,0.210,4x Enchanted Pumpkin
113,Helmet of the Pack,523.8K,2.60M,2.02M,386.4%,0,0.209,3x Golden Tooth | 4x Enchanted Mutton
114,Soul Esoward,2.00M,4.70M,2.61M,130.4%,0,0.209,4x Enchanted Birch Log | 1x Summoning Eye | 4x Null Ovoid
115,Young Dragon Leggings,59.2K,1.39M,1.30M,2202.8%,0,0.208,7x Young Fragment
116,Wise Dragon Chestplate,368.6K,2.25M,1.84M,498.1%,0,0.207,8x Wise Fragment
117,Old Dragon Leggings,67.0K,1.40M,1.31M,1947.9%,0,0.206,7x Old Fragment
118,Wise Dragon Boots,184.3K,1.80M,1.58M,857.0%,0,0.206,4x Wise Fragment
119,Holy Dragon Helmet,59.4K,1.35M,1.26M,2128.3%,0,0.206,5x Holy Fragment
120,Melon Boots,204.2K,1.80M,1.56M,764.0%,0,0.204,4x Enchanted Melon Block
121,Protector Dragon Leggings,68.5K,1.35M,1.25M,1830.2%,0,0.204,7x Protector Fragment
122,Melon Helmet,255.2K,1.90M,1.61M,629.2%,0,0.203,5x Enchanted Melon Block
123,Holy Dragon Leggings,83.1K,1.40M,1.29M,1550.6%,0,0.203,7x Holy Fragment
124,Sapphire Power Scroll,38.3K,1.12M,1.06M,2761.7%,0,0.200,3x Enchanted Paper | 1x Fine Sapphire Gem
125,Lush Talisman,797,490.0K,479.4K,60090.6%,0,0.197,9x Lush Berberis
126,Werewolf Boots,13.0K,850.0K,820.0K,6332.1%,0,0.197,4x Werewolf Skin
127,Travel Scroll to the Crimson Isle,10.3K,788.0K,761.9K,7395.1%,0,0.195,8x Enchanted Glowstone Dust | 1x Enchanted Ender Pearl
128,Final Destination Boots,306.6K,1.80M,1.46M,475.4%,0,0.195,2x Enchanted Redstone | 2x Null Ovoid
129,Portal to The End,508,427.0K,418.0K,82132.8%,0,0.194,3x Obsidian | 5x Ender Stone | 1x Enchanted Ender Pearl
130,Rabbit Chestplate,6.3K,699.0K,678.7K,10757.7%,0,0.194,6x Enchanted Rabbit Hide | 2x Enchanted Rabbit Foot
131,Repelling Candle,11.9K,790.0K,762.3K,6430.5%,0,0.193,1x Enchanted Coal | 6x Enchanted Acacia Log
132,Tera Shell Necklace,1.37M,3.30M,1.87M,136.5%,0,0.192,4x Enchanted Red Sand Cube | 4x Enchanted Mycelium Cube | 1x Gazing Pearl
133,Lava Talisman,15.2K,800.0K,768.8K,5067.8%,0,0.191,9x Enchanted Magma Cream
134,Magnetic Talisman,42,250.0K,245.0K,575246.0%,0,0.190,4x Emerald | 1x Redstone
135,Magma Lord Gauntlet,28.13M,32.00M,3.23M,11.5%,0,0.190,6x Magma Lord Fragment
136,Old Dragon Boots,38.3K,950.0K,892.7K,2331.9%,0,0.189,4x Old Fragment
137,Golem Armor Leggings,6.3K,650.0K,630.7K,9984.3%,0,0.189,7x Enchanted Iron
138,Draconic Talisman,4.63M,7.00M,2.23M,48.2%,0,0.188,2x Ritual Residue | 6x Mite Gel | 1x Absolute Ender Pearl
139,Bone Necklace,10.74M,13.50M,2.49M,23.2%,0,0.185,3x Soul String | 2x Spirit Bone | 1x Spirit Wing
140,Unstable Dragon Chestplate,68.0K,1.00M,912.0K,1340.9%,0,0.183,8x Unstable Fragment
141,Holy Dragon Boots,47.5K,895.0K,829.6K,1746.6%,0,0.181,4x Holy Fragment
142,Final Destination Leggings,460.8K,1.76M,1.26M,274.3%,0,0.180,3x Null Ovoid | 4x Enchanted Redstone
143,Strong Dragon Helmet,311.0K,1.50M,1.16M,372.6%,0,0.180,5x Strong Fragment
144,Travel Scroll to Spider's Den,12.7K,650.0K,624.3K,4910.7%,0,0.179,8x Enchanted Flint | 1x Enchanted Ender Pearl
145,Rabbit Helmet,3.9K,500.0K,486.1K,12314.8%,0,0.178,4x Enchanted Rabbit Hide | 1x Enchanted Rabbit Foot
146,Lava Shell Necklace,2.89M,4.70M,1.71M,59.3%,0,0.177,8x Lava Shell | 1x Gazing Pearl
147,Rabbit Boots,3.1K,450.0K,437.9K,13946.8%,0,0.174,2x Enchanted Rabbit Hide | 2x Enchanted Rabbit Foot
148,Travel Scroll to Mushroom Island,5.2K,496.0K,480.9K,9237.4%,0,0.174,3x Enchanted Cocoa | 5x Enchanted Cactus Green | 1x Enchanted Ender Pearl
149,Rabbit Leggings,5.5K,500.0K,484.5K,8758.0%,0,0.173,6x Enchanted Rabbit Hide | 1x Enchanted Rabbit Foot
150,Enchanted Bookshelf,14.5K,600.0K,573.5K,3948.9%,0,0.172,6x Enchanted Oak Log | 3x Enchanted Paper
151,Zombie's Heart,4.2K,460.0K,446.6K,10641.5%,0,0.172,8x Enchanted Rotten Flesh
152,Final Destination Helmet,458.9K,1.59M,1.10M,239.5%,0,0.171,3x Null Ovoid | 2x Enchanted Redstone
153,Young Dragon Helmet,42.3K,750.0K,692.7K,1639.6%,0,0.171,5x Young Fragment
154,Travel Scroll to the Gold Mine,6.2K,495.0K,478.9K,7690.4%,0,0.171,3x Enchanted Iron | 5x Enchanted Gold | 1x Enchanted Ender Pearl
155,Tarantula Leggings,839.6K,2.10M,1.22M,145.1%,0,0.170,3x Tarantula Silk | 4x Enchanted Iron
156,Blaze Leggings,1.78M,3.25M,1.40M,78.8%,0,0.170,7x Enchanted Blaze Rod
157,Unstable Dragon Boots,34.0K,700.0K,652.0K,1917.3%,0,0.170,4x Unstable Fragment
158,Golem Armor Chestplate,7.2K,499.0K,481.8K,6673.9%,0,0.170,8x Enchanted Iron
159,Leggings of the Pack,180.2K,1.09M,888.0K,492.9%,0,0.169,6x Enchanted Mutton | 1x Golden Tooth
160,Hurricane Bow,2.5K,400.0K,389.5K,15306.4%,0,0.169,3x Enchanted Bone | 3x String
161,Savanna Bow,7.1K,490.0K,473.1K,6632.9%,0,0.169,3x Enchanted Acacia Log | 3x Enchanted String
162,Revenant Boots,142.7K,995.0K,832.4K,583.5%,0,0.168,2x Enchanted Diamond | 2x Revenant Viscera
163,Deepterror Mixin,2.31M,3.80M,1.41M,61.2%,0,0.167,4x Mite Gel | 1x Ritual Residue
164,Hotspot Radar,814.3K,2.00M,1.15M,140.7%,0,0.167,2x Bronze Bowl | 2x Redstone | 1x Broken Radar | 3x Iron Ingot
165,Aspect of the End,18.3K,580.0K,550.1K,3002.1%,0,0.167,2x Enchanted Eye Of Ender | 1x Enchanted Diamond
166,Unstable Dragon Helmet,42.5K,699.0K,642.5K,1511.5%,0,0.166,5x Unstable Fragment
167,Old Dragon Chestplate,76.6K,800.0K,707.4K,923.9%,0,0.165,8x Old Fragment
168,Prismarine Bow,23,150.0K,147.0K,621981.6%,0,0.164,3x Prismarine Shard | 3x String
169,Travel Scroll to the Void Sepulture,473.1K,1.49M,987.1K,208.7%,0,0.164,3x Null Ovoid | 5x Raw Soulflow | 1x Absolute Ender Pearl
170,Protector Dragon Helmet,49.0K,700.0K,637.0K,1301.1%,0,0.164,5x Protector Fragment
171,Werewolf Chestplate,25.9K,600.0K,562.1K,2170.1%,0,0.164,8x Werewolf Skin
172,Wise Dragon Helmet,230.4K,1.10M,847.6K,367.9%,0,0.163,5x Wise Fragment
173,Mithril Coat,12.0K,500.0K,478.0K,3981.4%,0,0.163,8x Enchanted Mithril
174,Blaze Belt,7.7K,440.0K,423.5K,5497.5%,0,0.161,4x Enchanted Blaze Powder | 1x Blaze Ashes
175,Young Dragon Chestplate,67.6K,720.0K,638.0K,943.7%,0,0.160,8x Young Fragment
176,Young Dragon Boots,33.8K,600.0K,554.2K,1639.6%,0,0.159,4x Young Fragment
177,Stereo Pants,7.6K,430.0K,413.8K,5409.8%,0,0.159,3x Enchanted Sponge | 4x Prismarine Shard
178,Old Dragon Helmet,47.9K,650.0K,589.1K,1231.1%,0,0.159,5x Old Fragment
179,Travel Scroll to the End,9.1K,445.0K,427.0K,4674.5%,0,0.159,3x Enchanted Obsidian | 5x Enchanted Endstone | 1x Enchanted Ender Pearl
180,Soulflow Pile,8.7K,440.0K,422.5K,4869.5%,0,0.159,9x Null Sphere
181,Final Destination Chestplate,613.2K,1.59M,947.0K,154.4%,0,0.158,4x Enchanted Redstone | 4x Null Ovoid
182,Flamebreaker Chestplate,4.9K,378.0K,365.5K,7439.0%,0,0.157,8x Enchanted Hard Stone
183,Crystal Leggings,844.9K,1.85M,968.1K,114.6%,0,0.155,7x Crystal Fragment
184,Travel Scroll to The Barn,4.4K,350.0K,338.6K,7761.5%,0,0.153,3x Enchanted Carrot | 5x Enchanted Potato | 1x Enchanted Ender Pearl
185,Golem Armor Helmet,4.5K,349.0K,337.5K,7480.3%,0,0.153,5x Enchanted Iron
186,Thunderbolt Necklace,321.0K,1.11M,766.8K,238.9%,0,0.152,5x Thunder Shards
187,Travel Scroll to Deep Caverns,7.0K,380.0K,365.4K,5254.2%,0,0.152,3x Enchanted Redstone | 5x Enchanted Lapis Lazuli | 1x Enchanted Ender Pearl
188,Emerald Armor Helmet,530.0K,1.40M,842.0K,158.9%,0,0.152,5x Enchanted Emerald Block
189,Berserker Helmet,423.5K,1.25M,801.5K,189.2%,0,0.152,2x Magma Chunk | 1x Burning Eye | 2x Enchanted Red Sand Cube
190,Thunder Boots,256.8K,1.00M,723.2K,281.7%,0,0.151,4x Thunder Shards
191,Hardened Diamond Boots,5.3K,350.0K,337.7K,6350.8%,0,0.151,4x Enchanted Diamond
192,Berserker Boots,422.3K,1.23M,778.2K,184.3%,0,0.150,2x Enchanted Red Sand Cube | 2x Magma Chunk
193,Ghast Cloak,18.1K,450.0K,422.9K,2342.4%,0,0.150,6x Enchanted Ghast Tear | 1x Tentacle Meat
194,Exp Share,1.39M,2.40M,962.1K,69.2%,0,0.149,6x Enchanted Gold | 1x Pet Item Exp Share Drop
195,Protector Dragon Chestplate,78.3K,635.0K,544.0K,694.4%,0,0.148,8x Protector Fragment
196,Hardened Diamond Helmet,6.6K,350.0K,336.4K,5060.6%,0,0.147,5x Enchanted Diamond
197,Personal Compactor 4000,153.1K,784.0K,615.2K,401.7%,0,0.147,7x Enchanted Redstone | 1x Super Compactor 3000
198,Rekindled Ember Helmet,655.9K,1.50M,811.2K,123.7%,0,0.147,5x Rekindled Ember Fragment
199,Sponge Sinker,137,160.0K,156.7K,114091.7%,0,0.146,1x Water Lily | 2x Sponge
200,Golem Armor Boots,3.6K,299.0K,289.4K,8017.8%,0,0.145,4x Enchanted Iron
201,Sponge Leggings,559.7K,1.35M,763.3K,136.4%,0,0.145,7x Enchanted Wet Sponge
202,Blobfish Hat,109,150.0K,146.9K,134680.2%,0,0.145,5x Water Lily | 4x Clay Ball
203,Rekindled Ember Leggings,918.2K,1.79M,836.0K,91.0%,0,0.145,7x Rekindled Ember Fragment
204,Blaze Boots,1.02M,1.89M,833.1K,81.8%,0,0.143,4x Enchanted Blaze Rod
205,Revenant Chestplate,285.3K,945.2K,641.0K,224.7%,0,0.142,4x Enchanted Diamond | 4x Revenant Viscera
206,Magmafish Hat,1.9K,250.0K,243.1K,12773.1%,0,0.142,8x Magma Fish
207,Ancient Cloak,1.26M,2.15M,844.9K,66.9%,0,0.142,6x Enchanted Red Sand Cube | 1x Wither Soul
208,Crystal Chestplate,965.6K,1.80M,798.4K,82.7%,0,0.141,8x Crystal Fragment
209,Farm Armor Chestplate,8.0K,330.0K,315.4K,3966.7%,0,0.141,8x Enchanted Wheat
210,Haste Ring,2.4K,249.0K,241.6K,10079.2%,0,0.139,8x Enchanted Cobblestone
211,Revenant Leggings,215.3K,800.0K,568.7K,264.1%,0,0.138,3x Revenant Viscera | 4x Enchanted Diamond
212,Mineral Talisman,1.18M,2.00M,783.0K,66.5%,0,0.138,9x Refined Mineral
213,Speedster Chestplate,843.8K,1.60M,724.2K,85.8%,0,0.137,8x Enchanted Sugar Cane
214,Emerald Armor Chestplate,848.0K,1.60M,720.0K,84.9%,0,0.136,8x Enchanted Emerald Block
215,Gravity Talisman,179,143.0K,140.0K,77833.5%,0,0.136,9x Obsidian
216,Speedster Boots,421.9K,1.05M,607.1K,143.9%,0,0.134,4x Enchanted Sugar Cane
217,Shaman Sword,174.8K,700.0K,511.2K,292.5%,0,0.134,1x Golden Tooth | 1x Enchanted Iron | 1x Enchanted Bone
218,Blaze Chestplate,2.04M,2.90M,806.0K,39.6%,0,0.133,8x Enchanted Blaze Rod
219,Radiant Power Orb,10.3K,300.0K,283.7K,2744.6%,0,0.131,8x Wolf Tooth | 1x Enchanted Emerald
220,Sponge Boots,319.8K,887.0K,549.4K,171.8%,0,0.131,4x Enchanted Wet Sponge
221,Day Crystal,134.4K,600.0K,453.6K,337.5%,0,0.129,4x Enchanted Quartz | 1x Enchanted Quartz Block
222,Speedster Leggings,738.3K,1.39M,623.9K,84.5%,0,0.129,7x Enchanted Sugar Cane
223,Blaze Helmet,1.27M,2.00M,687.5K,54.0%,0,0.128,5x Enchanted Blaze Rod
224,Emerald Armor Boots,424.0K,999.9K,555.9K,131.1%,0,0.128,4x Enchanted Emerald Block
225,Explosive Bow,277.6K,795.0K,501.5K,180.7%,0,0.127,3x Enchanted Firework Rocket | 3x String
226,Implosion Belt,1.02M,1.70M,643.4K,62.9%,0,0.127,4x Match Sticks | 4x Enchanted Sulphur Cube
227,Speedster Helmet,527.4K,1.10M,550.6K,104.4%,0,0.125,5x Enchanted Sugar Cane
228,Thunder Leggings,449.4K,1000.0K,530.6K,118.1%,0,0.124,7x Thunder Shards
229,Lucky Clover,3.51M,4.32M,725.5K,20.7%,0,0.119,8x Enchanted Emerald | 1x Pet Item Lucky Clover Drop
230,Farmer Orb,65.9K,400.0K,326.1K,495.1%,0,0.117,8x Enchanted Pumpkin | 1x Enchanted Glowstone
